id,stars,lat,lon
Zoup!,3,43.4503123,-80.4904612
Dallas Nightclub,2.5,43.44937812,-80.48798856
Smile Tiger Coffee Roasters,4,43.45605392,-80.49166091
Amaya Express Kitchener,3.5,43.4497835,-80.4886641
L.A. Boil Seafood - Waterloo,2.5,43.461748,-80.5374452
Ginos Pizza,3.5,43.47597767,-80.52526765
Cheeses Murphy,4.5,43.46643944,-80.52258486
Funny BBQ,4.5,43.4707272,-80.5931956
Pizza Nova,2.5,43.4156309,-80.515221
Walmart,4.5,43.46992901,-80.51586084
Yogurty's Froyo,3.5,43.4646939,-80.5223045
Berlin Bicycle Cafe,4.5,43.45361,-80.518524
Tito's Pizza,4,43.433952,-80.428049
Topper's Pizza,3.5,43.4427784,-80.54370515
China Taste,2.5,43.43315286,-80.43903664
BarBurrito,2,43.42439998,-80.5211699
Night School,3.5,43.4670204,-80.5227058
Dairy Queen,4.5,43.43761428,-80.56242664
Arby's,3.5,43.5120396,-80.549031
Wok Wagon,4.5,43.46771086,-80.56891051
Ruby Nails,4.5,43.4544498,-80.5465469
Andy's Family Restaurant,3,43.41414642,-80.47895813
Richmond Towers,1.5,43.4783975,-80.5233532
Peking Gourmet,3.5,43.40581703,-80.49981829
Queen Street Commons Cafe,4.5,43.4492623,-80.489531
Darlise Cafe,4.5,43.449324,-80.4895946
The Boardwalk at Ira Needles Blvd.,3,43.43533707,-80.56113434
Feta & Olives Mediterranean Grill,1.5,43.4980824,-80.5274971
"""Instinct Windsports, Inc""",5,43.5474383,-80.5268532
Ossia Salon & Spa,3.5,43.502488,-80.53118
Kitchen Wok,3.5,43.44548,-80.573527
Pizza Nova,3,43.472092,-80.5363124
The Home Depot,3.5,43.50296177,-80.53358868
Mon Ami Pizza,3,43.4514435,-80.4988594
B&D Deliveries,2.5,43.4677771,-80.47635785
Grainharvest Breadhouse,2.5,43.4867233,-80.5182407
Ponyboy Vapes,4.5,43.46644555,-80.52278391
Empire Restaurant,2.5,43.47223166,-80.53806935
Quesada Burritos and Tacos,2,43.43837609,-80.51010136
Twice the Deal Pizza,3.5,43.4727988,-80.5934282
Eyes On King,4,43.46282,-80.52141
Pedi N Nails,4,43.4625868,-80.53809866
Tim Hortons,2,43.4714851,-80.4405146
Bourbon St Grill,4,43.4977272,-80.5283258
Enterprise Rent-A-Car,2,43.483177,-80.524267
Landmark Cinemas 12 Kitchener,4.5,43.4062713,-80.3884957
Ming's Chinese Restaurant,3.5,43.484638,-80.5406843
Pizza Pizza,1.5,43.4516523,-80.4444652
Waterloo Region Museum,5,43.4004723,-80.4392552
Sobeys,4,43.4057733,-80.5012671
Sing Lee Restaurant,3.5,43.4500214,-80.5005145
Your Kitchener Market,4,43.4480556,-80.4835652
Howard Johnson Kitchener Conestoga,1.5,43.4328528,-80.4428761
Wendy's,2,43.405947,-80.389624
Topper's Pizza,1.5,43.4396019,-80.509687
Gap,4.5,43.499146,-80.525131
Max's Golf Centre,4.5,43.5130451,-80.550985
Tim Hortons,2.5,43.484638,-80.5406843
Hairizona,3.5,43.4428794,-80.5418279
Transfers Cafe,4,43.4493439,-80.4924059
Kelsey's,2.5,43.41969414,-80.44813692
Comfort Inn,3.5,43.476341,-80.516926
The Mufflerman,3.5,43.4364457,-80.5142211
Walper Tobacco Shop,3,43.449741,-80.489465
Swiss Chalet Rotisserie & Grill,3.5,43.4661649,-80.4552956
Holiday Inn Kitchener-Waterloo Conf. Ctr.,3.5,43.4277926,-80.4337648
Tim Hortons,1.5,43.47001724,-80.51394417
Tim Hortons,2,43.4199357,-80.4525238
Chapters,4.5,43.4857912,-80.5263074
McDonald's,3.5,43.4248645,-80.4833476
Titos Pizza,5,43.4777192,-80.5196553
Holy Guacamole Fresh Mex,3,43.4768671,-80.520759
Colonial Creekside,5,43.501472,-80.5071832
DAVIDsTEA,4.5,43.463284,-80.522308
Zehrs,4,43.483387,-80.5076985
City Cafe And Bakery,3.5,43.47568147,-80.48473791
Swiss Chalet Rotisserie & Grill,2.5,43.435192,-80.515194
Stonegate Bistro,3.5,43.45021209,-80.48499864
Swiss Chalet Rotisserie & Grill,4.5,43.4205868,-80.4491669
FedEx Office,2.5,43.47173512,-80.53868963
Pisa Pizzeria,4,43.42192445,-80.4598546
Perfect Image Studio,3,43.4761743,-80.5249725
King Fish and Chips,5,43.4426453,-80.4736854
Ice Cream 2,5,43.434352,-80.428073
Rumbletum Cafe & Gifts,4,43.5410635,-80.5031801
DH Food & Lodging,4.5,43.5401962,-80.5531783
Sports Clips Haircuts,2.5,43.4355413,-80.5606239
LCBO,2,43.50100934,-80.53404754
Westheights Veterinary Hospital,4,43.4184521,-80.5349726
Staples,1.5,43.4243121,-80.4892122
National Sports Centre,3,43.486349,-80.5244182
Williams Fresh Cafe,3.5,43.5028859,-80.531231
Canadian Tire,3,43.4661498,-80.4598062
Wilfrid Laurier University,5,43.4744868,-80.5280468
A-1 Car Cleaning Services,2,43.4765903,-80.5237868
Kypreos Restaurant,3.5,43.4692203,-80.4843486
The Pita Pit,2,43.4729458,-80.5355568
U-Haul Moving & Storage of Waterloo,3.5,43.5011946,-80.5393988
Harvey's Restaurants,3,43.4205868,-80.4491669
Heffner Lexus Toyota Scion,4,43.4264654,-80.4259194
Dragon Court Restaurant,4,43.4645623,-80.5218647
Cafe 1842,3,43.466999,-80.523219
Bud's Restaurant,3,43.4581103,-80.4948402
Starbucks,2.5,43.46282236,-80.52195411
Gino's Pizza,4,43.4698791,-80.515248
Zehrs Markets,4,43.4237625,-80.4875189
Booster Juice,3.5,43.4762793,-80.5256008
Dynamite Pizza,4,43.4562565,-80.46117
Starbucks,4,43.4857912,-80.5263074
KW Korean Food Market,4.5,43.453308,-80.5013825
The Princess Cinema,5,43.4669517,-80.523252
Toys R US,2,43.420115,-80.444444
Granny Bonn's Fish N Chips,4,43.471789,-80.5134489
Wendy's,2.5,43.47695607,-80.51949298
Waterloo Valumart,2.5,43.4635366,-80.5235711
Thrive Studios,5,43.3931662,-80.3531077
Spice Tree Indian Cuisine,3.5,43.45079674,-80.487995
Wild Wing,2,43.4708396,-80.5955682
Engineering C & D,3.5,43.47066771,-80.53911053
Golden Hearth Bakery,5,43.4473354,-80.4834904
TWH Social,4,43.4498147,-80.4895253
St. Jacobs Country,4.5,43.5401215,-80.5535235
KFC,2,43.4837748,-80.5250976
WalMart,4.5,43.51052243,-80.54804976
Starbucks,4.5,43.40727407,-80.50036583
Economy Lube,1,43.4784809,-80.5195936
Best Western Plus Kitchener-Waterloo,3,43.4291964,-80.436849
The Java Garden,5,43.5374807,-80.5539114
Rawlicioius,4,43.4544362,-80.5181825
Downtown Kitchener Ribfest & Craft Beer Show,4.5,43.4473349,-80.4959114
Veritas Café,5,43.474541,-80.528095
Hair Plus,4.5,43.47259628,-80.53810669
Uni Wok,4,43.476073,-80.526301
The China Bowl,3.5,43.4770643,-80.5247756
Dawson Dental Centre,3,43.502486,-80.531612
Korean Bbq,4.5,43.447716,-80.484853
King Street Cycle,5,43.46509308,-80.52213516
The Pub On King,3,43.46775513,-80.5232455
WingsUp!,4,43.4768671,-80.520759
Wildfire Steakhouse & Wine Bar,4,43.462357,-80.5213112
Presotea - Waterloo,4.5,43.47420757,-80.5321422
Double Double Pizza & Chicken,3,43.4550137,-80.5461473
Black Forest Inn,2.5,43.5411674,-80.5032574
The Healthy Haven,4,43.462465,-80.4696355
Beta,3,43.4659013,-80.5225788
Tora Tattoo,4,43.4684736,-80.5226963
Stone Crock Bakery,3.5,43.5389421,-80.5535209
Pure Hair Studio,5,43.421022,-80.501992
Fresh Burrito Mexican Grill,4.5,43.4196543,-80.4513095
Bogda,4.5,43.476461,-80.5298676
Xcentric Hair Studio,4.5,43.4682725,-80.5201856
Prime Bar-B-Q Restaurant Ltd,2.5,43.4345769,-80.5181389
Whale & Ale,2.5,43.4668143,-80.4586875
McDonald's,2,43.3867629,-80.4138543
Words Worth Books,4.5,43.4629524,-80.5215294
Second Cup Campus Court,2,43.4729458,-80.5355568
Slices Restaurant,3,43.4517655,-80.4946351
Fratello Pizzeria,3,43.4680417,-80.5229389
Mr Wok Chinese Restaurant,3,43.435174,-80.51601
Costco Wholesale,2.5,43.4073085,-80.3914327
Teremok Cafe,4.5,43.4655683,-80.5188167
St Jacobs Outlet,3,43.5093982,-80.5545309
Bingemans,3,43.4717742,-80.4413307
Starbucks,4,43.47631901,-80.52524473
Kam Yin Restaurant,4,43.4530206,-80.5558759
Hampton Inn & Suites by Hilton,3.5,43.4069025,-80.3966612
Cafe Aroma,3.5,43.4647764,-80.5238181
Omega Family Restaurant,2.5,43.4157469,-80.5113586
TA Appliances & Barbecues,2,43.4642571,-80.4645501
Canadian Tire,2.5,43.4844453,-80.5243712
Block Three Brewery,4.5,43.5401962,-80.5531783
Casey's,3,43.4566835,-80.4317595
Twin City Pizza,5,43.484303,-80.5506807
Riverside Fish Hut,5,43.40035126,-80.36827474
Waterloo Hotel,4,43.4653831,-80.5222854
Joey's Seafood Restaurants,4,43.4379818,-80.5109191
Big John's Submarines,4.5,43.4528037,-80.5179854
Tim Hortons,3.5,43.44256,-80.54458
Dutchie's Fresh Market,3.5,43.44480009,-80.57069016
City Cafe Bakery,4,43.3990981,-80.36514466
McMullans On Highland,2.5,43.44072238,-80.50601583
The Easy Pour Wine Bar,4.5,43.3839072,-80.3854377
Timeless Cafe and Bakery,4.5,43.514662,-80.5193401
Downtown Crepe cafe,4.5,43.4483885,-80.4883922
Brick Brewery,3,43.4605412,-80.5198564
Phat Hat,3,43.47229484,-80.5387665
Grand Trunk Saloon,4,43.4497547,-80.4911023
Muya Restaurant,5,43.4401506,-80.5067663
Sharetea,2.5,43.47359158,-80.53718118
Crazy Shawarma Grill,5,43.3940089,-80.355435
Lotus Barbeque House,4,43.47277677,-80.53604564
Lai Lai Restaurant,3.5,43.44489232,-80.5059135
Big Fat Pita,4,43.4504201,-80.4907162
Montana's BBQ & Bar,3,43.4387751,-80.5640846
Galaxy Cinemas,3.5,43.49636365,-80.52570486
Zehrs Markets,4,43.452243,-80.555717
Raja Fine Indian Cuisine,3.5,43.454122,-80.518611
VanDijk Fish Co,2.5,43.4723301,-80.5333899
The Fiddle & Firkin,4.5,43.3957925,-80.3582264
The Flying Dog,3.5,43.483281,-80.5182138
GoodLife Fitness,4,43.4794995,-80.5208937
Subway,2,43.47224184,-80.53785136
Voila Institute,4,43.4505743,-80.4904823
Boston Pizza,2,43.4049004,-80.3854891
Lotus Tea House,4.5,43.469716,-80.522589
Cowboys & Angels,4.5,43.467083,-80.52184
Fairview Park Mall,3.5,43.4246563,-80.4390377
Radisson Hotel Kitchener,4,43.429037,-80.433975
Williams Fresh Cafe,3.5,43.4211815,-80.4450725
Casey's Bar and Grill,3,43.4668143,-80.4586875
Sunset Grill,2,43.4244,-80.52117
Chainsaw,2.5,43.4660241,-80.5226177
Burger King,2.5,43.47257798,-80.53570278
Games on Tap Board Game Café,4.5,43.4813358,-80.5227689
Crabby Joe's,3.5,43.4495201,-80.4878082
City Cafe Bakery,4,43.44119644,-80.47255707
Menchie's Frozen Yogurt,3.5,43.47621661,-80.52544932
Shinla Garden,4,43.4485888,-80.4862708
Q Bbq & Burger,4,43.502488,-80.53118
The Bombshelter Pub,3.5,43.47150764,-80.54511964
GBS German Baked Specialties,3.5,43.4630811,-80.5218111
